GPTuneBand	0, t = 1.0	0.802	0.034	0.824	0.824	0.810	0.752	
HpBandster		0.824	0.107	0.736	0.753	0.970	0.839	
GPTune		0.842	0.036	0.860	0.860	0.860	0.788	
OpenTuner		0.786	0.064	0.751	0.757	0.754	0.881	
TPE		0.856	0.050	0.810	0.881	0.914	0.820	
GPTuneBand	1, t = 1.05	0.757	0.009	0.751	0.764	0.748	0.764	
HpBandster		0.842	0.086	0.885	0.769	0.942	0.771	
GPTune		0.964	0.000	0.964	0.964	0.964	0.964	
OpenTuner		0.907	0.060	0.971	0.944	0.844	0.870	
TPE		0.842	0.073	0.830	0.943	0.768	0.825	
GPTuneBand	2, t = 1.1	0.747	0.000	0.747	0.747	0.747	0.747	
HpBandster		0.822	0.099	0.710	0.812	0.950	0.814	
GPTune		0.895	0.000	0.895	0.895	0.895	0.895	
OpenTuner		0.846	0.062	0.831	0.937	0.817	0.800	
TPE		0.841	0.103	0.979	0.737	0.798	0.852	
GPTuneBand	3, t = 1.15	0.772	0.000	0.772	0.772	0.772	0.772	
HpBandster		0.813	0.082	0.713	0.880	0.879	0.778	
GPTune		0.795	0.000	0.795	0.795	0.795	0.795	
OpenTuner		0.845	0.093	0.867	0.957	0.732	0.825	
TPE		0.759	0.060	0.715	0.771	0.839	0.711	
GPTuneBand	4, t = 1.2	0.766	0.024	0.739	0.764	0.798	0.764	
HpBandster		0.786	0.063	0.748	0.725	0.802	0.867	
GPTune		0.940	0.055	0.857	0.968	0.968	0.968	
OpenTuner		0.785	0.044	0.828	0.749	0.746	0.817	
TPE		0.820	0.090	0.910	0.760	0.883	0.728	
GPTuneBand	5, t = 1.25	0.830	0.019	0.802	0.839	0.839	0.839	
HpBandster		0.801	0.055	0.766	0.781	0.884	0.774	
GPTune		0.867	0.078	0.778	0.968	0.860	0.860	
OpenTuner		0.816	0.048	0.781	0.880	0.827	0.777	
TPE		0.854	0.085	0.785	0.912	0.776	0.941	
GPTuneBand	6, t = 1.3	0.886	0.050	0.910	0.910	0.910	0.811	
HpBandster		0.869	0.094	0.918	0.867	0.953	0.738	
GPTune		0.826	0.000	0.826	0.826	0.826	0.826	
OpenTuner		0.863	0.070	0.900	0.877	0.914	0.761	
TPE		0.908	0.033	0.885	0.957	0.902	0.890	
GPTuneBand	7, t = 1.35	0.758	0.004	0.751	0.760	0.760	0.760	
HpBandster		0.799	0.061	0.757	0.879	0.748	0.813	
GPTune		0.866	0.000	0.866	0.866	0.866	0.866	
OpenTuner		0.788	0.101	0.713	0.933	0.726	0.779	
TPE		0.833	0.099	0.866	0.716	0.949	0.802	
GPTuneBand	8, t = 1.4	0.801	0.034	0.775	0.790	0.790	0.852	
HpBandster		0.832	0.055	0.830	0.905	0.824	0.771	
GPTune		0.743	0.000	0.743	0.743	0.743	0.743	
OpenTuner		0.740	0.026	0.710	0.737	0.775	0.737	
TPE		0.874	0.099	0.996	0.827	0.768	0.903	
GPTuneBand	9, t = 1.45	0.794	0.000	0.794	0.794	0.794	0.794	
HpBandster		0.809	0.067	0.804	0.890	0.817	0.726	
GPTune		0.946	0.000	0.946	0.946	0.946	0.946	
OpenTuner		0.823	0.054	0.848	0.745	0.869	0.829	
TPE		0.907	0.067	0.807	0.952	0.932	0.935	
