GPTuneBand	0, t = 1	0.75	0.00	0.748	0.748	0.748	0.745	0.748
HpBandster		0.77	0.05	0.735	0.810	0.839	0.746	0.735
GPTune		0.74	0.00	0.735	0.735	0.735	0.735	0.735
OpenTuner		0.84	0.08	0.957	0.806	0.890	0.799	0.762
TPE		0.85	0.06	0.909	0.893	0.767	0.811	0.848
GPTuneBand	1, t = 1.05	0.76	0.02	0.747	0.800	0.749	0.746	0.771
HpBandster		0.78	0.02	0.811	0.769	0.779	0.768	0.780
GPTune		0.77	0.03	0.754	0.772	0.758	0.746	0.812
OpenTuner		0.84	0.06	0.922	0.777	0.865	0.792	0.828
TPE		0.88	0.08	0.946	0.987	0.792	0.850	0.834
GPTuneBand	2, t = 1.1	0.79	0.02	0.800	0.800	0.800	0.800	0.747
HpBandster		0.79	0.09	0.938	0.799	0.717	0.758	0.714
GPTune		0.79	0.04	0.801	0.814	0.814	0.717	0.814
OpenTuner		0.84	0.07	0.823	0.955	0.807	0.824	0.784
TPE		0.85	0.03	0.839	0.868	0.802	0.861	0.890
GPTuneBand	3, t = 1.15	0.71	0.00	0.715	0.707	0.717	0.706	0.713
HpBandster		0.80	0.09	0.816	0.711	0.705	0.882	0.908
GPTune		0.75	0.05	0.712	0.778	0.827	0.729	0.721
OpenTuner		0.81	0.11	0.705	0.787	0.973	0.708	0.872
TPE		0.83	0.10	0.973	0.718	0.860	0.752	0.861
GPTuneBand	4, t = 1.2	0.76	0.03	0.746	0.728	0.791	0.728	0.800
HpBandster		0.85	0.09	0.727	0.941	0.883	0.801	0.894
GPTune		0.78	0.05	0.747	0.862	0.777	0.749	0.747
OpenTuner		0.87	0.06	0.886	0.791	0.949	0.856	0.873
TPE		0.83	0.07	0.811	0.893	0.904	0.791	0.726
GPTuneBand	5, t = 1.25	0.75	0.01	0.757	0.736	0.757	0.757	0.757
HpBandster		0.83	0.06	0.766	0.901	0.829	0.779	0.861
GPTune		0.77	0.03	0.766	0.783	0.776	0.732	0.806
OpenTuner		0.82	0.08	0.915	0.769	0.772	0.767	0.901
TPE		0.86	0.07	0.896	0.912	0.919	0.825	0.765
GPTuneBand	6, t = 1.3	0.80	0.08	0.737	0.905	0.875	0.727	0.772
HpBandster		0.77	0.04	0.740	0.740	0.823	0.815	0.738
GPTune		0.85	0.06	0.886	0.886	0.886	0.833	0.737
OpenTuner		0.92	0.10	0.915	0.978	0.978	0.991	0.742
TPE		0.80	0.08	0.757	0.715	0.817	0.923	0.779
GPTuneBand	7, t = 1.35	0.76	0.05	0.748	0.715	0.709	0.834	0.770
HpBandster		0.77	0.06	0.752	0.751	0.870	0.721	0.752
GPTune		0.77	0.00	0.765	0.765	0.765	0.765	0.765
OpenTuner		0.77	0.03	0.772	0.742	0.742	0.776	0.805
TPE		0.87	0.06	0.770	0.914	0.858	0.878	0.937
GPTuneBand	8, t = 1.4	0.79	0.05	0.730	0.770	0.804	0.769	0.864
HpBandster		0.89	0.05	0.934	0.931	0.895	0.827	0.846
GPTune		0.81	0.06	0.868	0.767	0.769	0.753	0.868
OpenTuner		0.86	0.06	0.879	0.843	0.874	0.776	0.930
TPE		0.82	0.10	0.874	0.769	0.958	0.717	0.757
GPTuneBand	9, t = 1.45	0.83	0.07	0.716	0.829	0.898	0.860	0.837
HpBandster		0.81	0.10	0.945	0.867	0.721	0.794	0.716
GPTune		0.76	0.04	0.744	0.810	0.794	0.727	0.729
OpenTuner		0.87	0.08	0.890	0.903	0.808	0.767	0.973
TPE		0.89	0.05	0.878	0.863	0.923	0.942	0.831
