GPTuneBand	0, [0.2, 0.5]	1.13	0.20	0.98	1.35	1.350	1.040	0.930
GPTuneBandS		0.88	0.12	0.83	0.70	0.930	0.990	0.950
HpBandster		1.21	0.20	0.92	1.13	1.41	1.370	1.220
GPTune		1.04	0.06	1.12	1.01	1.070	0.960	1.030
OpenTuner		0.83	0.13	0.76	0.71	1.040	0.770	0.880
TPE		0.89	0.15	0.68	1.03	0.820	1.020	0.880
GPTuneBand	1, [0.159, 0.545]	1.50	0.11	1.42	1.35	1.580	1.520	1.620
GPTuneBandS		1.15	0.16	1.27	1.28	0.970	1.260	0.970
HpBandster		1.02	0.17	0.91	0.78	1.17	1.120	1.140
GPTune		1.06	0.25	0.95	1.41	0.800	0.910	1.240
OpenTuner		1.28	0.38	1.42	1.35	0.960	0.870	1.810
TPE		1.17	0.18	1.32	1.06	1.200	0.920	1.330
GPTuneBand	2, [0.02, 0.682]	1.10	0.14	1.00	1.05	1.030	1.350	1.060
GPTuneBandS		1.22	0.11	1.28	1.39	1.160	1.130	1.160
HpBandster		1.06	0.14	1.03	1.14	1.22	0.860	1.040
GPTune		1.04	0.18	1.11	0.75	1.000	1.140	1.210
OpenTuner		1.40	0.55	2.27	1.12	0.860	1.160	1.600
TPE		1.25	0.35	1.25	1.24	1.160	0.800	1.790
GPTuneBand	3, [0.9, 0.02]	0.70	0.01	0.69	0.70	0.710	0.700	0.700
GPTuneBandS		1.03	0.18	1.15	1.09	0.720	1.020	1.170
HpBandster		1.04	0.12	1.01	0.84	1.17	1.070	1.100
GPTune		0.94	0.21	1.18	1.14	0.730	0.800	0.830
OpenTuner		1.95	1.70	0.71	4.92	1.760	1.370	1.010
TPE		1.05	0.13	0.99	0.99	0.980	1.270	1.000
GPTuneBand	4, [0.7, 0.3]	1.04	0.16	1.11	1.10	1.090	1.140	0.760
GPTuneBandS		1.03	0.11	1.06	1.07	1.070	0.840	1.100
HpBandster		1.00	0.19	1.23	0.86	1.08	1.070	0.750
GPTune		0.70	0.02	0.72	0.69	0.690	0.680	0.710
OpenTuner		1.24	0.58	1.49	1.00	2.140	0.720	0.870
TPE		1.19	0.15	1.33	1.24	1.270	1.190	0.940
GPTuneBand	5, [0.147, 0.739]	1.22	0.14	1.24	1.17	1.340	1.340	1.000
GPTuneBandS		1.21	0.12	1.12	1.17	1.170	1.430	1.160
HpBandster		1.05	0.07	1.14	1.12	1.04	0.980	0.990
GPTune		0.95	0.13	0.98	0.79	1.110	0.850	1.020
OpenTuner		1.43	0.61	1.19	1.52	1.100	2.440	0.900
TPE		1.27	0.31	1.76	1.10	1.210	0.960	1.330
GPTuneBand	6, [0.033, 0.528]	1.35	0.14	1.49	1.17	1.240	1.440	1.400
GPTuneBandS		0.88	0.17	1.01	0.69	1.000	0.700	0.990
HpBandster		1.20	0.18	1.12	1.22	1.190	0.980	1.480
GPTune		0.96	0.10	0.81	0.92	1.060	1.020	0.970
OpenTuner		1.31	0.35	1.13	1.46	1.850	1.010	1.110
TPE		1.03	0.26	1.42	0.91	1.180	0.800	0.860
GPTuneBand	7, [0.094, 0.402]	1.18	0.14	1.28	1.22	1.200	0.940	1.260
GPTuneBandS		1.16	0.19	1.00	1.39	1.190	1.270	0.930
HpBandster		1.15	0.29	1.28	1.43	1.060	1.290	0.700
GPTune		1.09	0.16	1.02	1.01	1.340	1.140	0.930
OpenTuner		1.74	0.75	0.96	1.39	1.880	1.530	2.950
TPE		1.11	0.19	1.17	1.29	0.890	0.919	1.260
GPTuneBand	8, [0.698, 0.302]	1.09	0.11	1.10	1.07	1.260	0.990	1.020
GPTuneBandS		1.21	0.05	1.19	1.29	1.150	1.230	1.210
HpBandster		0.96	0.22	1.31	0.94	0.860	0.710	1.000
GPTune		1.09	0.05	1.05	1.11	1.150	1.080	1.040
OpenTuner		1.23	0.41	0.76	1.16	1.890	1.120	1.200
TPE		1.27	0.37	1.27	1.43	0.860	1.000	1.810
GPTuneBand	9, [0.603, 0.0784]	0.73	0.09	0.71	0.89	0.670	0.690	0.710
GPTuneBandS		1.08	0.21	1.20	1.20	1.150	0.700	1.16
HpBandster		1.31	0.21	1.56	1.50	1.250	1.180	1.060
GPTune		1.04	0.14	1.18	0.92	1.050	1.160	0.870
OpenTuner		0.95	0.35	0.48	1.17	1.410	0.840	0.850
TPE		0.99	0.29	1.41	0.90	0.640	0.870	1.140
