GPTuneBand	6, [0.033, 0.528]	1.35	0.14	1.49	1.17	1.240	1.440	1.400
GPTuneBandS		0.88	0.17	1.01	0.69	1.000	0.700	0.990
HpBandster		1.20	0.18	1.12	1.22	1.190	0.980	1.480
GPTune		0.96	0.10	0.81	0.92	1.060	1.020	0.970
OpenTuner		1.31	0.35	1.13	1.46	1.850	1.010	1.110
TPE		1.03	0.26	1.42	0.91	1.180	0.800	0.860
GPTuneBand	7, [0.094, 0.402]	1.18	0.14	1.28	1.22	1.200	0.940	1.260
GPTuneBandS		1.16	0.19	1.00	1.39	1.190	1.270	0.930
HpBandster		1.15	0.29	1.28	1.43	1.060	1.290	0.700
GPTune		1.09	0.16	1.02	1.01	1.340	1.140	0.930
OpenTuner		1.74	0.75	0.96	1.39	1.880	1.530	2.950
TPE		1.11	0.19	1.17	1.29	0.890	0.919	1.260
GPTuneBand	8, [0.698, 0.302]	1.09	0.11	1.10	1.07	1.260	0.990	1.020
GPTuneBandS		1.21	0.05	1.19	1.29	1.150	1.230	1.210
HpBandster		0.96	0.22	1.31	0.94	0.860	0.710	1.000
GPTune		1.09	0.05	1.05	1.11	1.150	1.080	1.040
OpenTuner		1.23	0.41	0.76	1.16	1.890	1.120	1.200
TPE		1.27	0.37	1.27	1.43	0.860	1.000	1.810
GPTuneBand	9, [0.603, 0.0784]	0.73	0.09	0.71	0.89	0.670	0.690	0.710
GPTuneBandS		1.08	0.21	1.20	1.20	1.150	0.700	1.16
HpBandster		1.31	0.21	1.56	1.50	1.250	1.180	1.060
GPTune		1.04	0.14	1.18	0.92	1.050	1.160	0.870
OpenTuner		0.95	0.35	0.48	1.17	1.410	0.840	0.850
TPE		0.99	0.29	1.41	0.90	0.640	0.870	1.140
