GPTuneBand	0, [0.2, 0.5]	1.35	0.68	2.33	0.82	1.31
HpBandster		#DIV/0!	#DIV/0!			
GPTune		1.16	0.12	1.02	1.24	1.21
OpenTuner		#DIV/0!	#DIV/0!			
TPE		#DIV/0!	#DIV/0!			
GPTuneBand	1, [0.159, 0.545]	0.95	0.03	0.97	0.92	0.93
HpBandster		#DIV/0!	#DIV/0!			
GPTune		1.22	0.15	1.35	1.06	1.24
OpenTuner		#DIV/0!	#DIV/0!			
TPE		#DIV/0!	#DIV/0!			
GPTuneBand	2, [0.02, 0.682]	1.08	0.02	1.09	1.07	1.05
HpBandster		#DIV/0!	#DIV/0!			
GPTune		1.05	0.10	0.97	1.03	1.16
OpenTuner		#DIV/0!	#DIV/0!			
TPE		#DIV/0!	#DIV/0!			
GPTuneBand	3, [0.9, 0.02]	1.15	0.12	1.32	1.08	1.16
HpBandster		#DIV/0!	#DIV/0!			
GPTune		0.96	0.09	0.92	1.06	0.90
OpenTuner		#DIV/0!	#DIV/0!			
TPE		#DIV/0!	#DIV/0!			
GPTuneBand	4, [0.7, 0.3]	1.24	0.07	1.29	1.17	1.31
HpBandster		#DIV/0!	#DIV/0!			
GPTune		0.97	0.07	1.04	0.91	0.97
OpenTuner		#DIV/0!	#DIV/0!			
TPE		#DIV/0!	#DIV/0!			
GPTuneBand	5, [0.147, 0.739]	1.31	0.02	1.30	1.34	1.30
HpBandster		#DIV/0!	#DIV/0!			
GPTune		0.98	0.10	0.94	1.10	0.91
OpenTuner		#DIV/0!	#DIV/0!			
TPE		#DIV/0!	#DIV/0!			
GPTuneBand	6, [0.033, 0.528]	1.40	0.02	1.39	1.37	1.40
HpBandster		#DIV/0!	#DIV/0!			
GPTune		1.13	0.03	1.16	1.10	1.13
OpenTuner		#DIV/0!	#DIV/0!			
TPE		#DIV/0!	#DIV/0!			
GPTuneBand	7, [0.094, 0.402]	1.31	0.29	1.09	1.56	1.55
HpBandster		#DIV/0!	#DIV/0!			
GPTune		1.33	0.25	1.29	1.60	1.11
OpenTuner		#DIV/0!	#DIV/0!			
TPE		#DIV/0!	#DIV/0!			
GPTuneBand	8, [0.698, 0.302]	1.29	0.08	1.21	1.22	1.37
HpBandster		#DIV/0!	#DIV/0!			
GPTune		1.10	0.08	1.19	1.09	1.03
OpenTuner		#DIV/0!	#DIV/0!			
TPE		#DIV/0!	#DIV/0!			
GPTuneBand	9, [0.603, 0.0784]	1.17	0.07	1.24	1.18	1.19
HpBandster		#DIV/0!	#DIV/0!			
GPTune		1.24	0.05	1.18	1.26	1.27
OpenTuner		#DIV/0!	#DIV/0!			
TPE		#DIV/0!	#DIV/0!			
