GPTuneBand	0, [0.2, 0.5]	0.85	0.14	0.75	1.01	1.000	0.770	0.720
HpBandster		1.15	0.14	1.08	0.99	1.22	1.350	1.130
GPTune		0.97	0.16	0.97	1.19	0.730	0.980	0.980
OpenTuner		2.11	2.45	0.79	6.48	1.150	0.840	1.290
TPE		1.12	0.29	1.00	1.17	0.740	1.140	1.540
GPTuneBand	1, [0.159, 0.545]	1.11	0.21	1.22	1.08	0.920	1.400	0.920
HpBandster		0.98	0.14	1.17	1.00	0.85	1.050	0.850
GPTune		1.09	0.19	1.09	0.79	1.040	1.260	1.260
OpenTuner		1.22	0.42	0.63	1.06	1.250	1.750	1.430
TPE		1.07	0.16	1.05	1.21	1.030	1.220	0.830
GPTuneBand	2, [0.02, 0.682]	1.13	0.13	1.09	1.36	1.050	1.130	1.030
HpBandster		1.12	0.31	1.40	1.00	1.37	0.640	1.200
GPTune		1.19	0.13	1.10	1.13	1.280	1.380	1.060
OpenTuner		0.88	0.18	1.15	0.85	0.730	0.960	0.730
TPE		1.00	0.13	0.93	0.90	0.960	1.220	0.970
GPTuneBand	3, [0.9, 0.02]	0.96	0.11	1.02	0.95	0.77	1.030	1.010
HpBandster		1.33	0.18	1.10	1.30	1.270	1.360	1.610
GPTune		0.79	0.15	0.85	0.56	0.79	0.850	0.890
OpenTuner		0.83	0.13	0.99	0.89	0.720	0.660	0.880
TPE		0.92	0.18	0.73	1.12	0.910	1.100	0.760
GPTuneBand	4, [0.7, 0.3]	0.77	0.11	0.69	0.75	0.70	0.740	0.960
HpBandster		0.99	0.19	0.75	1.09	1.230	1.010	0.850
GPTune		1.08	0.08	0.99	1.04	1.08	1.170	1.110
OpenTuner		1.82	1.12	1.54	1.55	1.120	3.790	1.120
TPE		1.01	0.22	0.91	1.06	1.150	0.690	1.260
GPTuneBand	5, [0.147, 0.739]	0.76	0.02	0.76	0.75	0.730	0.790	0.760
HpBandster		1.10	0.13	0.90	1.12	1.26	1.100	1.100
GPTune		1.05	0.12	1.10	1.18	0.850	1.060	1.080
OpenTuner		1.65	0.24	1.30	1.84	1.580	1.600	1.910
TPE		1.18	0.17	1.01	1.35	1.150	1.350	1.030
GPTuneBand	6, [0.033, 0.528]	1.44	0.16	1.32	1.70	1.450	1.310	1.410
HpBandster		1.37	0.10	1.32	1.27	1.54	1.370	1.360
GPTune		1.29	0.21	1.28	1.64	1.110	1.220	1.180
OpenTuner		1.39	0.62	1.46	0.84	1.320	2.390	0.940
TPE		1.21	0.27	1.49	1.32	0.910	1.380	0.940
GPTuneBand	7, [0.094, 0.402]	1.03	0.11	0.86	1.10	1.060	1.140	0.990
HpBandster		1.25	0.10	1.36	1.32	1.11	1.250	1.220
GPTune		1.11	0.15	0.84	1.16	1.160	1.160	1.220
OpenTuner		2.00	1.46	1.33	1.32	1.100	1.650	4.580
TPE		1.19	0.16	1.11	1.14	1.030	1.200	1.460
GPTuneBand	8, [0.698, 0.302]	0.97	0.09	0.93	1.01	0.97	1.100	0.860
HpBandster		1.02	0.23	1.02	0.79	1.160	0.810	1.330
GPTune		1.02	0.15	1.06	1.07	0.930	0.820	1.220
OpenTuner		0.96	0.20	1.00	1.25	0.730	0.840	0.990
TPE		1.16	0.01	1.17	1.16	1.160	1.150	1.140
GPTuneBand	9, [0.603, 0.0784]	0.85	0.16	0.98	0.66	0.69	0.950	0.980
HpBandster		1.05	0.31	1.05	0.71	1.010	1.550	0.910
GPTune		1.07	0.23	1.42	0.91	0.880	1.210	0.940
OpenTuner		1.55	0.70	1.15	1.77	2.700	1.030	1.120
TPE		1.17	0.13	1.07	1.17	1.340	1.210	1.070
