GPTune_MB	0, [1.764, 0.169]	1.294	0.163	1.12	1.32	1.53	1.34	1.16
HpBandster		1.528	0.543	0.98	1.25	1.76	2.36	1.29
GPTune		0.928	0.193	0.91	0.83	0.74	0.91	1.25
OpenTuner		1.350	0.539	1.91	1.90	1.00	0.71	1.23
GPTune_MB	1, [0.041, 0.809]	0.928	0.154	0.73	0.80	1.00	1.03	1.08
HpBandster		1.026	0.134	1.09	0.92	0.86	1.19	1.07
GPTune		0.948	0.195	1.28	0.95	0.78	0.87	0.86
OpenTuner		1.332	0.739	1.45	0.84	1.01	0.79	2.57
GPTune_MB	2, [0.227, 1.882]	0.956	0.273	0.78	0.85	0.84	0.87	1.44
HpBandster		1.248	0.506	0.92	1.22	1.27	2.07	0.76
GPTune		0.980	0.088	0.99	0.93	0.92	0.93	1.13
OpenTuner		1.056	0.493	1.84	0.74	1.24	0.81	0.65
GPTune_MB	3, [1.430, 0.678]	1.118	0.252	0.93	1.31	0.90	1.46	0.99
HpBandster		1.384	0.643	0.74	1.15	1.34	1.23	2.46
GPTune		1.014	0.154	1.15	0.84	0.87	1.04	1.17
OpenTuner		0.976	0.166	0.99	0.70	1.12	1.09	0.98
GPTune_MB	4, [1.211, 1.274]	1.218	0.061	1.13	1.20	1.30	1.23	1.23
HpBandster		1.010	0.141	0.89	0.93	0.98	1.25	1.00
GPTune		0.716	0.094	0.65	0.71	0.67	0.67	0.88
OpenTuner		1.396	0.505	2.14	1.06	1.41	0.82	1.55
GPTune_MB	5, [1.951, 1.616]	1.064	0.081	1.08	1.08	0.93	1.08	1.15
HpBandster		0.916	0.285	1.41	0.89	0.79	0.69	0.80
GPTune		1.034	0.116	1.01	1.03	0.86	1.17	1.10
OpenTuner		0.884	0.121	0.98	0.70	0.82	0.95	0.97
GPTune_MB	6, [1.060, 0.312]	1.104	0.120	0.93	1.11	1.26	1.07	1.15
HpBandster		1.056	0.128	1.00	1.16	0.88	1.04	1.20
GPTune		0.820	0.039	0.86	0.83	0.85	0.79	0.77
OpenTuner		0.932	0.229	0.89	0.75	1.07	0.70	1.25
GPTune_MB	7, [0.554, 1.720]	1.150	0.447	1.91	0.79	0.91	0.97	1.17
HpBandster		1.012	0.213	0.93	0.79	1.15	0.88	1.31
GPTune		1.034	0.146	0.88	0.88	1.10	1.11	1.20
OpenTuner		1.230	0.409	0.92	1.04	1.89	0.94	1.36
GPTune_MB	8, [1.120, 1.401]	1.028	0.151	1.13	0.82	1.07	0.93	1.19
HpBandster		1.076	0.136	1.27	1.16	1.03	0.98	0.94
GPTune		1.050	0.162	0.92	0.96	1.08	0.97	1.32
OpenTuner		1.194	0.209	1.46	0.89	1.28	1.21	1.13
GPTune_MB	9, [1.976, 0.495]	1.162	0.174	1.27	1.02	1.23	0.94	1.35
HpBandster		1.032	0.177	0.93	1.21	1.04	1.19	0.79
GPTune		0.930	0.145	1.08	1.05	0.76	0.96	0.80
OpenTuner		1.564	0.820	0.76	2.64	1.06	2.23	1.13
