GPTune_MB	0, [1.764, 0.169]	1.210	0.467	1.54	0.88
HpBandster		1.595	0.629	2.04	1.15
GPTune		1.085	0.629	0.64	1.53
OpenTuner		1.175	0.007	1.17	1.18
GPTune_MB	1, [0.041, 0.809]	1.150	0.014	1.14	1.16
HpBandster		1.230	0.438	0.92	1.54
GPTune		1.010	0.438	0.70	1.32
OpenTuner		2.975	2.920	0.91	5.04
GPTune_MB	2, [0.227, 1.882]	1.010	0.438	0.70	1.32
HpBandster		2.180	1.669	3.36	1.00
GPTune		1.025	0.049	1.06	0.99
OpenTuner		1.235	0.290	1.03	1.44
GPTune_MB	3, [1.430, 0.678]	1.340	0.057	1.30	1.38
HpBandster		1.680	0.424	1.98	1.38
GPTune		1.060	0.170	0.94	1.18
OpenTuner		1.205	0.035	1.18	1.23
GPTune_MB	4, [1.211, 1.274]	1.250	0.311	1.47	1.03
HpBandster		1.700	0.707	2.20	1.20
GPTune		1.095	0.247	0.92	1.27
OpenTuner		1.410	1.018	0.69	2.13
GPTune_MB	5, [1.951, 1.616]	0.885	0.078	0.83	0.94
HpBandster		1.530	0.042	1.50	1.56
GPTune		1.015	0.177	1.14	0.89
OpenTuner		1.100	0.156	1.21	0.99
GPTune_MB	6, [1.060, 0.312]	1.340	0.368	1.08	1.60
HpBandster		1.370	0.325	1.14	1.60
GPTune		1.045	0.064	1.09	1.00
OpenTuner		3.380	1.980	1.98	4.78
GPTune_MB	7, [0.554, 1.720]	1.100	0.269	0.91	1.29
HpBandster		1.550	0.113	1.63	1.47
GPTune		0.760	0.113	0.84	0.68
OpenTuner		1.075	0.177	0.95	1.20
GPTune_MB	8, [1.120, 1.401]	1.075	0.106	1.00	1.15
HpBandster		1.125	0.120	1.04	1.21
GPTune		0.915	0.021	0.93	0.90
OpenTuner		1.370	0.240	1.20	1.54
GPTune_MB	9, [1.976, 0.495]	1.235	0.332	1.47	1.00
HpBandster		1.260	0.099	1.33	1.19
GPTune		1.000	0.141	1.10	0.90
OpenTuner		1.845	0.403	2.13	1.56
GPTune_MB	10, [1.624, 1.546]	1.500	0.085	1.44	1.56
HpBandster		1.350	0.170	1.23	1.47
GPTune		0.985	0.092	0.92	1.05
OpenTuner		2.845	1.690	1.65	4.04
GPTune_MB	11, [0.486, 0.910]	1.835	0.078	1.89	1.78
HpBandster		1.300	0.665	1.77	0.83
GPTune		0.950	0.071	1.00	0.90
OpenTuner		1.360	1.188	2.20	0.52
GPTune_MB	12, [0.243, 1.947]	1.390	0.665	0.92	1.86
HpBandster		1.165	0.361	1.42	0.91
GPTune		0.925	0.092	0.86	0.99
OpenTuner		1.910	1.499	2.97	0.85
GPTune_MB	13, [1.455, 0.440]	0.975	0.134	1.07	0.88
HpBandster		1.415	0.474	1.75	1.08
GPTune		1.005	0.092	0.94	1.07
OpenTuner		2.250	0.396	1.97	2.53
GPTune_MB	14, [0.306, 1.744]	1.665	0.516	1.30	2.03
HpBandster		1.175	0.035	1.15	1.20
GPTune		1.180	0.057	1.22	1.14
OpenTuner		1.430	0.693	0.94	1.92
GPTune_MB	15, [1.312, 1.829]	1.235	0.403	0.95	1.52
HpBandster		1.095	0.502	0.74	1.45
GPTune		0.930	0.014	0.94	0.92
OpenTuner		1.340	0.467	1.01	1.67
GPTune_MB	16, [0.437, 1.746]	1.470	0.057	1.43	1.51
HpBandster		1.290	0.198	1.15	1.43
GPTune		1.030	0.113	0.95	1.11
OpenTuner		2.080	1.697	3.28	0.88
GPTune_MB	17, [1.180, 0.314]	1.380	0.523	1.01	1.75
HpBandster		1.200	0.368	0.94	1.46
GPTune		0.970	0.042	0.94	1.00
OpenTuner		3.115	2.510	1.34	4.89
GPTune_MB	18, [0.684, 1.253]	1.385	0.445	1.07	1.70
HpBandster		2.155	1.294	1.24	3.07
GPTune		1.005	0.205	1.15	0.86
OpenTuner		2.310	0.933	2.97	1.65
GPTune_MB	19, [0.808, 0.783]	1.200	0.127	1.29	1.11
HpBandster		0.995	0.163	0.88	1.11
GPTune		1.005	0.078	0.95	1.06
OpenTuner		1.010	0.297	0.80	1.22
