GPTune_MB	0, [1.764, 0.169]	5.48	2.28	7.95	3.45	5.04
HpBandster		6.97	5.58	3.35	4.16	13.40
GPTune		4.08	0.51	4.47	3.51	4.27
OpenTuner		2.87	1.67	4.43	3.08	1.11
GPTune_MB	1, [0.041, 0.809]	3.84	1.03	2.80	3.87	4.85
HpBandster		4.16	0.25	3.87	4.28	4.33
GPTune		3.05	0.39	2.73	3.49	2.93
OpenTuner		4.38	1.14	3.18	4.50	5.46
GPTune_MB	2, [0.227, 1.882]	5.12	1.94	7.26	3.47	4.64
HpBandster		4.53	1.21	3.15	5.41	5.02
GPTune		3.67	0.24	3.42	3.71	3.89
OpenTuner		5.52	5.09	2.56	11.40	2.60
GPTune_MB	3, [1.430, 0.678]	3.32	0.32	3.58	2.97	3.42
HpBandster		5.19	2.01	3.09	5.39	7.09
GPTune		2.85	0.03	2.88	2.82	2.85
OpenTuner		3.85	0.92	2.87	4.69	3.99
GPTune_MB	4, [1.211, 1.274]	5.37	1.99	7.64	3.91	4.55
HpBandster		3.33	0.49	3.04	3.05	3.89
GPTune		3.57	0.53	4.11	3.54	3.06
OpenTuner		4.68	2.89	4.21	2.05	7.78
GPTune_MB	5, [1.951, 1.616]	3.52	0.24	3.63	3.68	3.25
HpBandster		7.74	4.79	13.05	3.74	6.44
GPTune		4.01	0.31	4.18	4.20	3.66
OpenTuner		3.20	0.98	3.57	2.09	3.94
GPTune_MB	6, [1.060, 0.312]	3.32	0.69	2.53	3.68	3.75
HpBandster		4.52	0.29	4.57	4.79	4.21
GPTune		3.34	0.13	3.22	3.48	3.33
OpenTuner		5.62	5.16	2.61	2.68	11.58
GPTune_MB	7, [0.554, 1.720]	4.37	2.18	6.75	3.87	2.48
HpBandster		4.13	1.43	3.25	3.37	5.78
GPTune		3.21	0.39	3.10	3.65	2.89
OpenTuner		5.95	4.36	3.43	10.99	3.44
GPTune_MB	8, [1.120, 1.401]	4.48	0.48	5.00	4.38	4.05
HpBandster		4.00	0.67	4.37	4.41	3.23
GPTune		2.76	0.20	2.87	2.88	2.53
OpenTuner		10.10	13.32	3.35	1.51	25.45
GPTune_MB	9, [1.976, 0.495]	4.48	0.81	5.16	3.58	4.69
HpBandster		5.66	0.72	5.79	6.30	4.88
GPTune		3.61	0.56	3.60	4.17	3.06
OpenTuner		4.24	2.65	2.66	2.75	7.30
GPTune_MB	10, [1.624, 1.546]	5.45	2.48	7.70	2.79	5.87
HpBandster		5.13	0.49	5.58	4.61	5.19
GPTune		2.57	0.33	2.87	2.62	2.22
OpenTuner		4.76	3.17	8.42	2.81	3.05
GPTune_MB	11, [0.486, 0.910]	3.58	0.40	3.14	3.91	3.70
HpBandster		10.80	4.31	10.30	6.77	15.34
GPTune		3.94	0.67	4.53	4.07	3.21
OpenTuner		4.63	1.39	6.24	3.90	3.76
GPTune_MB	12, [0.243, 1.947]	3.81	0.71	2.99	4.18	4.26
HpBandster		3.91	1.39	2.46	5.22	4.06
GPTune		2.67	0.11	2.77	2.68	2.56
OpenTuner		4.67	2.52	7.54	2.83	3.64
GPTune_MB	13, [1.455, 0.440]	3.36	0.50	3.40	2.84	3.83
HpBandster		5.40	1.52	5.32	3.93	6.96
GPTune		4.01	0.82	3.07	4.57	4.40
OpenTuner		6.01	2.74	7.46	2.85	7.73
GPTune_MB	14, [0.306, 1.744]	6.20	0.19	6.36	6.26	5.99
HpBandster		5.43	1.58	5.39	7.03	3.87
GPTune		2.95	0.64	3.68	2.48	2.69
OpenTuner		8.52	2.69	8.10	6.07	11.40
GPTune_MB	15, [1.312, 1.829]	3.59	1.14	3.13	2.76	4.89
HpBandster		4.75	2.14	3.58	3.44	7.22
GPTune		2.88	1.40	4.18	3.05	1.40
OpenTuner		3.59	2.24	6.17	2.11	2.48
GPTune_MB	16, [0.437, 1.746]	4.65	0.36	5.06	4.41	4.47
HpBandster		3.75	1.35	3.06	5.31	2.88
GPTune		3.25	0.21	3.06	3.47	3.23
OpenTuner		3.91	1.27	4.56	2.45	4.73
GPTune_MB	17, [1.180, 0.314]	2.92	0.69	2.19	3.56	3.01
HpBandster		5.30	3.38	9.02	2.43	4.44
GPTune		3.61	0.57	3.48	4.23	3.11
OpenTuner		6.98	4.13	3.37	6.08	11.49
GPTune_MB	18, [0.684, 1.253]	3.03	0.37	2.6	3.26	3.22
HpBandster		3.66	0.54	3.03	3.98	3.96
GPTune		4.49	0.75	5.36	4.05	4.07
OpenTuner		7.03	4.13	2.56	10.71	7.82
GPTune_MB	19, [0.808, 0.783]	4.42	1.00	5.00	5.00	3.26
HpBandster		4.83	0.87	5.16	5.49	3.85
GPTune		3.80	0.85	2.87	4.02	4.52
OpenTuner		14.55	9.54	10.74	7.50	25.4
