GPTuneBand	0, [1.764, 0.169]	1.12	0.03	1.10	1.14			
HpBandster		1.23	0.24	1.06	1.40			
GPTune		1.04	0.00	1.04	1.04			
OpenTuner		2.16	2.49	3.92	0.40			
TPE		0.98	0.18	1.10	0.85			
GPTuneBand	1, [0.041, 0.809]	1.50	0.15	1.61	1.40			
HpBandster		1.18	0.49	1.53	0.83			
GPTune		0.99	0.16	0.87	1.10			
OpenTuner		1.19	0.65	0.73	1.65			
TPE		0.89	0.03	0.87	0.92			
GPTuneBand	2, [0.227, 1.882]	1.05	0.01	1.06	1.04			
HpBandster		1.49	0.56	1.09	1.88			
GPTune		0.94	0.15	1.04	0.83			
OpenTuner		1.05	0.21	1.20	0.90			
TPE		1.24	0.08	1.18	1.30			
GPTuneBand	3, [1.430, 0.678]	0.68	0.01	0.69	0.68			
HpBandster		1.34	0.06	1.30	1.38			
GPTune		0.94	0.04	0.97	0.91			
OpenTuner		1.65	1.47	0.61	2.69			
TPE		0.99	0.08	0.93	1.05			
GPTuneBand	4, [1.211, 1.274]	1.21	0.23	1.37	1.04			
HpBandster		1.26	0.47	1.59	0.92			
GPTune		0.74	0.01	0.73	0.75			
OpenTuner		1.49	0.60	1.06	1.91			
TPE		1.55	0.97	2.24	0.87			
GPTuneBand	5, [1.951, 1.616]	0.96	0.18	1.09	0.84			
HpBandster		0.97	0.11	0.89	1.04			
GPTune		0.93	0.05	0.90	0.97			
OpenTuner		0.92	0.04	0.95	0.89			
TPE		1.10	0.36	1.35	0.84			
GPTuneBand	6, [1.060, 0.312]	1.25	0.16	1.13	1.36			
HpBandster		0.95	0.05	0.92	0.99			
GPTune		0.84	0.03	0.82	0.86			
OpenTuner		0.84	0.35	0.59	1.09			
TPE		1.12	0.05	1.08	1.15			
GPTuneBand	7, [0.554, 1.720]	1.37	0.01	1.38	1.36			
HpBandster		1.19	0.21	1.34	1.05			
GPTune		0.90	0.08	0.96	0.84			
OpenTuner		0.94	0.14	0.84	1.04			
TPE		1.06	0.07	1.01	1.11			
GPTuneBand	8, [1.120, 1.401]	1.07	0.18	1.20	0.94			
HpBandster		1.04	0.14	0.94	1.14			
GPTune		0.95	0.20	0.81	1.09			
OpenTuner		0.93	0.01	0.94	0.92			
TPE		1.17	0.23	1.01	1.34			
GPTuneBand	9, [1.976, 0.495]	1.29	0.08	1.23	1.35			
HpBandster		1.25	0.06	1.29	1.21			
GPTune		1.04	0.01	1.04	1.03			
OpenTuner		1.87	1.69	0.68	3.07			
TPE		1.06	0.17	0.94	1.18			
GPTuneBand	10, [1.624, 1.546]	1.01	0.24	1.18	0.84			
HpBandster		1.18	0.11	1.10	1.25			
GPTune		0.95	0.01	0.94	0.96			
OpenTuner		1.39	0.54	1.77	1.00			
TPE		1.22	0.47	0.88	1.55			
GPTuneBand	11, [0.486, 0.910]	1.30	0.08	1.36	1.24			
HpBandster		1.59	0.62	2.02	1.15			
GPTune		0.91	0.02	0.89	0.92			
OpenTuner		0.98	0.15	0.87	1.08			
TPE		0.94	0.06	0.89	0.98			
GPTuneBand	12, [0.243, 1.947]	1.13	0.00	1.13	1.13			
HpBandster		1.28	0.37	1.54	1.01			
GPTune		1.03	0.21	1.18	0.89			
OpenTuner		0.78	0.61	0.35	1.21			
TPE		1.18	0.12	1.26	1.09			
GPTuneBand	13, [1.455, 0.440]	1.36	0.14	1.46	1.26			
HpBandster		1.29	0.08	1.35	1.23			
GPTune		0.81	0.08	0.87	0.75			
OpenTuner		1.69	0.23	1.53	1.85			
TPE		1.47	0.45	1.78	1.15			
GPTuneBand	14, [0.306, 1.744]	1.44	0.25	1.26	1.62			
HpBandster		1.49	0.55	1.1	1.88			
GPTune		0.76	0.11	0.68	0.84			
OpenTuner		1.12	0.30	0.91	1.33			
TPE		1.20	0.36	1.45	0.94			
GPTuneBand	15, [1.312, 1.829]	1.28	0.23	1.11	1.44			
HpBandster		1.26	0.20	1.4	1.12			
GPTune		0.92	0.15	1.02	0.81			
OpenTuner		0.83	0.01	0.82	0.84			
TPE		1.15	0.44	0.84	1.46			
GPTuneBand	16, [0.437, 1.746]	1.17	0.05	1.13	1.2			
HpBandster		1.98	1.10	1.2	2.75			
GPTune		0.81	0.04	0.78	0.84			
OpenTuner		1.17	0.05	1.13	1.2			
TPE		1.05	0.26	1.23	0.86			
GPTuneBand	17, [1.180, 0.314]	1.36	0.05	1.32	1.39			
HpBandster		1.06	0.41	0.77	1.35			
GPTune		1.07	0.25	1.25	0.90			
OpenTuner		1.17	0.32	0.94	1.39			
TPE		1.14	0.28	1.34	0.94			
GPTuneBand	18, [0.684, 1.253]	1.41	0.14	1.31	1.51			
HpBandster		1.16	0.11	1.09	1.24			
GPTune		0.85	0.04	0.82	0.88			
OpenTuner		1.35	0.69	0.86	1.84			
TPE		0.95	0.10	0.88	1.02			
GPTuneBand	19, [0.808, 0.783]	1.23	0.37	0.96	1.49			
HpBandster		1.69	0.97	2.37	1			
GPTune		0.79	0.01	0.78	0.8			
OpenTuner		2.27	0.26	2.08	2.45			
TPE		1.15	0.31	1.37	0.93			
