GPTuneBand	0, [1.764, 0.169]	1.48	0.00	1.48	1.48
HpBandster		4.44	0.00	4.44	4.44
GPTune		0.70	0.00	0.70	0.70
OpenTuner		1.45	0.00	1.45	1.45
TPE		1.78	0.00	1.78	1.78
GPTuneBand	1, [0.041, 0.809]	1.23	0.00	1.23	1.23
HpBandster		2.03	0.00	2.03	2.03
GPTune		0.91	0.00	0.91	0.91
OpenTuner		1.24	0.00	1.24	1.24
TPE		1.18	0.00	1.18	1.18
GPTuneBand	2, [0.227, 1.882]	1.16	0.00	1.16	1.16
HpBandster		1.12	0.00	1.12	1.12
GPTune		0.87	0.00	0.87	0.87
OpenTuner		1.96	0.00	1.96	1.96
TPE		0.85	0.00	0.85	0.85
GPTuneBand	3, [1.430, 0.678]	1.65	0.00	1.65	1.65
HpBandster		0.99	0.00	0.99	0.99
GPTune		0.59	0.00	0.59	0.59
OpenTuner		2.04	0.00	2.04	2.04
TPE		0.83	0.00	0.83	0.83
GPTuneBand	4, [1.211, 1.274]	2.11	0.00	2.11	2.11
HpBandster		0.93	0.00	0.93	0.93
GPTune		1.05	0.00	1.05	1.05
OpenTuner		0.95	0.00	0.95	0.95
TPE		0.88	0.00	0.88	0.88
GPTuneBand	5, [1.951, 1.616]	1.43	0.00	1.43	1.43
HpBandster		1.19	0.00	1.19	1.19
GPTune		1.06	0.00	1.06	1.06
OpenTuner		0.95	0.00	0.95	0.95
TPE		0.78	0.00	0.78	0.78
GPTuneBand	6, [1.060, 0.312]	1.36	0.00	1.36	1.36
HpBandster		0.86	0.00	0.86	0.86
GPTune		1.01	0.00	1.01	1.01
OpenTuner		0.79	0.00	0.79	0.79
TPE		1.11	0.00	1.11	1.11
GPTuneBand	7, [0.554, 1.720]	0.76	0.00	0.76	0.76
HpBandster		1.31	0.00	1.31	1.31
GPTune		0.87	0.00	0.87	0.87
OpenTuner		2.92	0.00	2.92	2.92
TPE		0.73	0.00	0.73	0.73
GPTuneBand	8, [1.120, 1.401]	2.18	0.00	2.18	2.18
HpBandster		1.27	0.00	1.27	1.27
GPTune		1.04	0.00	1.04	1.04
OpenTuner		0.82	0.00	0.82	0.82
TPE		0.71	0.00	0.71	0.71
GPTuneBand	9, [1.976, 0.495]	1.71	0.00	1.71	1.71
HpBandster		1.01	0.00	1.01	1.01
GPTune		0.63	0.00	0.63	0.63
OpenTuner		4.22	0.00	4.22	4.22
TPE		2.35	0.00	2.35	2.35
GPTuneBand	10, [1.624, 1.546]	1.39	0.00	1.39	1.39
HpBandster		1.39	0.00	1.39	1.39
GPTune		1.18	0.00	1.18	1.18
OpenTuner		1.02	0.00	1.02	1.02
TPE		1.06	0.00	1.06	1.06
GPTuneBand	11, [0.486, 0.910]	1.37	0.00	1.37	1.37
HpBandster		1.11	0.00	1.11	1.11
GPTune		1.15	0.00	1.15	1.15
OpenTuner		1.80	0.00	1.80	1.80
TPE		1.01	0.00	1.01	1.01
GPTuneBand	12, [0.243, 1.947]	1.04	0.00	1.04	1.04
HpBandster		2.15	0.00	2.15	2.15
GPTune		1.05	0.00	1.05	1.05
OpenTuner		1.67	0.00	1.67	1.67
TPE		1.20	0.00	1.20	1.20
GPTuneBand	13, [1.455, 0.440]	1.43	0.00	1.43	1.43
HpBandster		1.79	0.00	1.79	1.79
GPTune		1.12	0.00	1.12	1.12
OpenTuner		0.93	0.00	0.93	0.93
TPE		0.71	0.00	0.71	0.71
GPTuneBand	14, [0.306, 1.744]	2.14	0.00	2.14	2.14
HpBandster		2.76	0.00	2.76	2.76
GPTune		1.34	0.00	1.34	1.34
OpenTuner		0.83	0.00	0.83	0.83
TPE		0.90	0.00	0.90	0.90
GPTuneBand	15, [1.312, 1.829]	0.82	0.00	0.82	0.82
HpBandster		2.11	0.00	2.11	2.11
GPTune		0.99	0.00	0.99	0.99
OpenTuner		0.99	0.00	0.99	0.99
TPE		1.13	0.00	1.13	1.13
GPTuneBand	16, [0.437, 1.746]	1.22	0.00	1.22	1.22
HpBandster		2.95	0.00	2.95	2.95
GPTune		0.78	0.00	0.78	0.78
OpenTuner		0.93	0.00	0.93	0.93
TPE		0.71	0.00	0.71	0.71
GPTuneBand	17, [1.180, 0.314]	0.82	0.00	0.82	0.82
HpBandster		1.52	0.00	1.52	1.52
GPTune		1.22	0.00	1.22	1.22
OpenTuner		0.51	0.00	0.51	0.51
TPE		1.06	0.00	1.06	1.06
GPTuneBand	18, [0.684, 1.253]	1.12	0.00	1.12	1.12
HpBandster		1.23	0.00	1.23	1.23
GPTune		1.11	0.00	1.11	1.11
OpenTuner		2.10	0.00	2.10	2.10
TPE		1.09	0.00	1.09	1.09
GPTuneBand	19, [0.808, 0.783]	1.15	0.00	1.15	1.15
HpBandster		1.05	0.00	1.05	1.05
GPTune		1.37	0.00	1.37	1.37
OpenTuner		1.05	0.00	1.05	1.05
TPE		0.87	0.00	0.87	0.87
