GPTuneBand	0, t = 1	0.75	0.01	0.736	0.748	0.748	0.748	0.748
TPE		0.85	0.10	0.952	0.735	0.953	0.754	0.871
GPTune		0.89	0.00	0.889	0.889	0.889	0.889	0.889
OpenTuner		1.02	0.04	1.100	1.000	1.000	1.000	1.000
HpBandster		0.74	0.01	0.753	0.743	0.735	0.736	0.735
GPTuneBand	1, t = 1.5	0.80	0.00	0.798	0.798	0.798	0.798	0.798
TPE		0.89	0.11	0.776	0.992	0.770	0.918	0.990
GPTune		0.74	0.00	0.743	0.743	0.743	0.743	0.743
OpenTuner		1.02	0.04	1.100	1.000	1.000	1.000	1.000
HpBandster		0.85	0.08	0.840	0.840	0.918	0.730	0.917
GPTuneBand	2, t = 2.0	0.71	0.00	0.711	0.711	0.711	0.711	0.711
TPE		0.90	0.11	0.987	0.944	0.962	0.892	0.722
GPTune		0.93	0.00	0.935	0.935	0.935	0.935	0.935
OpenTuner		1.02	0.04	1.100	1.000	1.000	1.000	1.000
HpBandster		0.86	0.10	0.876	0.720	0.950	0.813	0.958
GPTuneBand	3, t = 2.5	0.97	0.01	0.950	0.959	0.978	0.975	0.965
TPE		0.92	0.08	0.968	0.844	0.946	0.821	0.999
GPTune		0.96	0.00	0.959	0.959	0.956	0.959	0.959
OpenTuner		1.00	0.00	1.000	1.000	1.000	1.000	1.000
HpBandster		0.84	0.13	0.957	0.829	0.781	0.659	0.952
GPTuneBand	4, t = 3.0	0.98	0.01	0.988	0.986	0.984	0.970	0.987
TPE		0.82	0.16	0.693	0.846	0.981	0.639	0.964
GPTune		0.91	0.00	0.915	0.915	0.915	0.915	0.915
OpenTuner		1.00	0.00	1.000	1.000	1.000	1.000	1.000
HpBandster		0.83	0.15	0.983	0.870	0.693	0.963	0.648
GPTuneBand	5, t = 3.5	1.00	0.00	0.999	0.999	0.999	0.999	0.999
TPE		0.83	0.13	0.976	0.936	0.749	0.659	0.848
GPTune		0.96	0.00	0.963	0.963	0.963	0.963	0.963
OpenTuner		1.00	0.00	1.000	1.000	1.000	1.000	1.000
HpBandster		0.85	0.20	0.659	0.995	1.000	0.999	0.622
GPTuneBand	6, t = 4.0	0.93	0.00	0.932	0.932	0.932	0.932	0.932
TPE		0.91	0.12	0.890	0.991	0.706	0.985	0.999
GPTune		1.00	0.00	0.995	0.995	0.995	0.995	0.995
OpenTuner		1.00	0.00	1.000	1.000	1.000	1.000	1.000
HpBandster		0.89	0.15	0.757	1.000	0.700	0.999	0.999
GPTuneBand	7, t = 4.5	0.95	0.04	0.981	0.981	0.902	0.902	0.981
TPE		0.84	0.12	0.828	0.782	0.675	0.999	0.916
GPTune		1.00	0.00	1.000	1.000	1.000	1.000	1.000
OpenTuner		1.00	0.00	1.000	1.000	1.000	1.000	1.000
HpBandster		0.91	0.20	1.000	1.000	1.000	0.559	0.999
GPTuneBand	8, t = 5.0	0.60	0.00	0.598	0.598	0.598	0.598	0.598
TPE		0.82	0.16	0.983	0.720	0.596	0.883	0.908
GPTune		1.00	0.00	0.997	0.997	0.997	0.997	0.997
OpenTuner		1.00	0.00	1.000	1.000	1.000	1.000	1.000
HpBandster		0.83	0.11	1.000	0.724	0.878	0.745	0.781
GPTuneBand	9, t = 5.5	0.63	0.00	0.632	0.632	0.632	0.632	0.632
TPE		0.92	0.17	0.996	0.998	1.000	0.611	0.998
GPTune		1.00	0.00	0.999	0.999	0.999	0.999	0.999
OpenTuner		1.00	0.00	1.000	1.000	1.000	1.000	1.000
HpBandster		0.89	0.17	0.616	0.998	1.000	0.843	1.000
