GPTuneBand	0, t = 1	0.75	0.00	0.748	0.748	0.748	0.748	0.748
HpBandster		0.76	0.03	0.738	0.810	0.765	0.754	0.753
GPTune		0.84	0.06	0.889	0.803	0.889	0.753	0.870
OpenTuner		0.80	0.10	0.767	0.782	0.970	0.737	0.753
TPE		0.84	0.11	0.768	0.967	0.953	0.754	0.748
GPTuneBand	1, t = 1.5	0.77	0.03	0.798	0.730	0.748	0.798	0.798
HpBandster		0.84	0.10	0.736	0.850	0.917	0.952	0.755
GPTune		0.74	0.01	0.743	0.743	0.743	0.719	0.743
OpenTuner		0.83	0.07	0.792	0.857	0.788	0.931	0.770
TPE		0.86	0.05	0.843	0.864	0.917	0.885	0.784
GPTuneBand	2, t = 2.0	0.71	0.00	0.711	0.711	0.711	0.711	0.711
HpBandster		0.94	0.04	0.940	0.963	0.954	0.871	0.955
GPTune		0.84	0.04	0.840	0.810	0.852	0.797	0.899
OpenTuner		0.90	0.07	0.813	0.870	0.872	0.969	0.960
TPE		0.94	0.02	0.955	0.937	0.954	0.900	0.943
GPTuneBand	3, t = 2.5	0.85	0.15	0.958	0.959	0.971	0.718	0.659
HpBandster		0.91	0.13	0.953	0.956	0.982	0.668	0.982
GPTune		0.87	0.13	0.959	0.708	0.744	0.959	0.959
OpenTuner		0.89	0.13	0.675	0.985	0.973	0.844	0.967
TPE		0.79	0.13	0.702	0.715	0.970	0.680	0.866
GPTuneBand	4, t = 3.0	0.81	0.12	0.713	0.979	0.681	0.870	0.795
HpBandster		0.79	0.16	0.937	0.697	0.981	0.621	0.734
GPTune		0.92	0.00	0.915	0.915	0.915	0.915	0.915
OpenTuner		0.91	0.09	0.973	0.797	0.980	0.835	0.986
TPE		0.84	0.15	0.966	0.843	0.656	0.999	0.734
GPTuneBand	5, t = 3.5	0.79	0.13	0.990	0.812	0.809	0.688	0.645
HpBandster		0.81	0.18	0.604	0.998	0.652	0.792	0.982
GPTune		0.89	0.09	0.755	0.923	0.963	0.963	0.861
OpenTuner		0.77	0.19	0.657	0.976	0.976	0.607	0.643
TPE		0.94	0.08	1.000	0.999	0.874	0.825	0.984
GPTuneBand	6, t = 4.0	0.75	0.11	0.628	0.743	0.757	0.932	0.698
HpBandster		0.83	0.15	0.999	0.756	0.995	0.712	0.698
GPTune		0.74	0.13	0.625	0.602	0.906	0.840	0.711
OpenTuner		0.87	0.17	0.986	0.677	0.703	0.991	1.000
TPE		0.89	0.10	1.000	0.993	0.775	0.830	0.854
GPTuneBand	7, t = 4.5	0.79	0.12	0.902	0.799	0.674	0.902	0.656
HpBandster		0.98	0.05	1.000	0.879	1.000	1.000	1.000
GPTune		0.94	0.07	0.996	0.941	0.823	1.000	0.941
OpenTuner		0.93	0.14	1.000	0.992	0.997	1.000	0.681
TPE		0.77	0.13	0.728	0.687	0.724	0.702	0.990
GPTuneBand	8, t = 5.0	0.60	0.00	0.598	0.598	0.598	0.598	0.598
HpBandster		0.81	0.19	0.611	1.000	0.804	0.641	1.000
GPTune		0.92	0.08	0.997	0.976	0.841	0.835	0.936
OpenTuner		0.82	0.15	0.624	0.733	0.831	0.904	1.000
TPE		0.84	0.16	1.000	0.649	0.772	0.765	0.999
GPTuneBand	9, t = 5.5	0.63	0.00	0.632	0.632	0.632	0.632	0.632
HpBandster		0.85	0.21	0.642	1.000	1.000	1.000	0.596
GPTune		0.95	0.05	0.906	0.998	0.892	0.998	0.966
OpenTuner		0.91	0.09	0.927	1.000	0.851	0.786	1.000
TPE		0.78	0.14	0.852	0.660	0.994	0.693	0.690
