GPTuneBand	0, t = 1.0	0.818	0.000	0.818	0.818	0.818		
HpBandster		0.775	0.035	0.782	0.805	0.737		
GPTune		0.879	0.008	0.884	0.871	0.884		
OpenTuner		0.771	0.019	0.750	0.788	0.775		
TPE		0.876	0.039	0.871	0.918	0.840		
GPTuneBand	1, t = 1.05	0.784	0.000	0.784	0.784	0.784		
HpBandster		0.775	0.006	0.768	0.779	0.779		
GPTune		0.952	0.000	0.952	0.952	0.952		
OpenTuner		0.827	0.063	0.893	0.820	0.768		
TPE		0.887	0.058	0.846	0.953	0.860		
GPTuneBand	2, t = 1.1	0.805	0.000	0.805	0.805	0.805		
HpBandster		0.867	0.051	0.842	0.833	0.926		
GPTune		0.951	0.000	0.951	0.951	0.951		
OpenTuner		0.813	0.014	0.810	0.800	0.829		
TPE		0.882	0.075	0.870	0.962	0.814		
GPTuneBand	3, t = 1.15	0.839	0.000	0.839	0.839	0.839		
HpBandster		0.866	0.022	0.841	0.878	0.879		
GPTune		0.955	0.011	0.956	0.945	0.966		
OpenTuner		0.794	0.131	0.725	0.712	0.945		
TPE		0.872	0.036	0.861	0.844	0.912		
GPTuneBand	4, t = 1.2	0.780	0.000	0.780	0.780	0.780		
HpBandster		0.828	0.107	0.736	0.945	0.801		
GPTune		0.923	0.000	0.923	0.923	0.923		
OpenTuner		0.833	0.100	0.813	0.745	0.941		
TPE		0.890	0.083	0.967	0.901	0.801		
GPTuneBand	5, t = 1.25	0.776	0.000	0.776	0.776	0.776		
HpBandster		0.866	0.090	0.926	0.762	0.909		
GPTune		0.874	0.000	0.874	0.874	0.874		
OpenTuner		0.924	0.013	0.919	0.914	0.939		
TPE		0.849	0.079	0.902	0.887	0.757		
GPTuneBand	6, t = 1.3	0.794	0.000	0.794	0.794	0.794		
HpBandster		0.897	0.104	0.991	0.915	0.786		
GPTune		0.934	0.000	0.934	0.934	0.934		
OpenTuner		0.802	0.093	0.768	0.731	0.908		
TPE		0.918	0.027	0.890	0.945	0.920		
GPTuneBand	7, t = 1.35	0.862	0.000	0.862	0.862	0.862		
HpBandster		0.785	0.072	0.746	0.742	0.868		
GPTune		0.933	0.000	0.933	0.933	0.933		
OpenTuner		0.900	0.115	0.954	0.767	0.979		
TPE		0.875	0.107	0.931	0.943	0.751		
GPTuneBand	8, t = 1.4	0.745	0.000	0.745	0.745	0.745		
HpBandster		0.895	0.084	0.919	0.802	0.965		
GPTune		0.828	0.000	0.828	0.828	0.828		
OpenTuner		0.897	0.028	0.897	0.925	0.869		
TPE		0.843	0.015	0.860	0.832	0.837		
GPTuneBand	9, t = 1.45	0.899	0.000	0.899	0.899	0.899		
HpBandster		0.876	0.057	0.929	0.882	0.816		
GPTune		0.936	0.000	0.936	0.936	0.936		
OpenTuner		0.802	0.023	0.794	0.828	0.784		
TPE		0.931	0.048	0.946	0.877	0.970		
