GPTuneBand	0, t = 1.0	0.742	0.009	0.735	0.757	0.737	0.737	0.747
HpBandster		0.772	0.049	0.738	0.738	0.810	0.736	0.839
GPTune		0.791	0.000	0.790	0.791	0.791	0.791	0.791
OpenTuner		0.778	0.047	0.741	0.809	0.846	0.741	0.752
TPE		0.866	0.079	0.813	0.904	0.896	0.958	0.759
GPTuneBand	1, t = 1.05	0.750	0.003	0.755	0.748	0.746	0.749	0.749
HpBandster		0.790	0.055	0.774	0.769	0.776	0.885	0.746
GPTune		0.849	0.000	0.849	0.849	0.849	0.849	0.849
OpenTuner		0.861	0.095	0.952	0.853	0.793	0.747	0.962
TPE		0.802	0.032	0.785	0.848	0.824	0.789	0.767
GPTuneBand	2, t = 1.1	0.783	0.091	0.712	0.910	0.848	0.717	0.728
HpBandster		0.786	0.046	0.823	0.713	0.824	0.797	0.770
GPTune		0.880	0.000	0.880	0.880	0.880	0.880	0.880
OpenTuner		0.816	0.069	0.724	0.801	0.916	0.836	0.802
TPE		0.801	0.038	0.807	0.836	0.736	0.813	0.815
GPTuneBand	3, t = 1.15	0.794	0.052	0.788	0.826	0.826	0.826	0.707
HpBandster		0.804	0.091	0.705	0.883	0.869	0.705	0.861
GPTune		0.773	0.000	0.773	0.773	0.773	0.773	0.773
OpenTuner		0.860	0.082	0.908	0.793	0.849	0.973	0.775
TPE		0.934	0.094	0.986	0.977	0.942	0.770	0.994
GPTuneBand	4, t = 1.2	0.763	0.035	0.725	0.754	0.737	0.802	0.798
HpBandster		0.792	0.026	0.778	0.824	0.801	0.755	0.801
GPTune		0.929	0.029	0.877	0.942	0.942	0.941	0.942
OpenTuner		0.817	0.082	0.731	0.791	0.759	0.922	0.883
TPE		0.908	0.071	0.879	0.977	0.805	0.908	0.973
GPTuneBand	5, t = 1.25	0.774	0.011	0.775	0.790	0.766	0.775	0.762
HpBandster		0.851	0.095	0.863	0.757	0.900	0.756	0.977
GPTune		0.904	0.000	0.904	0.904	0.904	0.904	0.904
OpenTuner		0.865	0.082	0.768	0.899	0.794	0.967	0.896
TPE		0.892	0.111	0.765	0.781	0.940	0.979	0.997
GPTuneBand	6, t = 1.3	0.769	0.020	0.763	0.789	0.789	0.745	0.758
HpBandster		0.761	0.076	0.715	0.738	0.719	0.896	0.737
GPTune		0.904	0.000	0.904	0.904	0.904	0.904	0.904
OpenTuner		0.879	0.086	0.841	0.781	0.834	0.980	0.959
TPE		0.880	0.084	0.743	0.948	0.945	0.865	0.898
GPTuneBand	7, t = 1.35	0.878	0.037	0.812	0.896	0.888	0.897	0.896
HpBandster		0.765	0.058	0.756	0.866	0.745	0.742	0.716
GPTune		0.755	0.000	0.755	0.755	0.755	0.755	0.755
OpenTuner		0.874	0.062	0.931	0.936	0.848	0.866	0.788
TPE		0.863	0.075	0.848	0.870	0.938	0.745	0.916
GPTuneBand	8, t = 1.4	0.901	0.023	0.883	0.917	0.869	0.917	0.917
HpBandster		0.793	0.054	0.826	0.834	0.767	0.827	0.709
GPTune		0.943	0.000	0.943	0.943	0.943	0.943	0.943
OpenTuner		0.833	0.086	0.716	0.875	0.769	0.917	0.890
TPE		0.802	0.087	0.770	0.720	0.949	0.770	0.803
GPTuneBand	9, t = 1.45	0.902	0.035	0.883	0.894	0.859	0.928	0.946
HpBandster		0.791	0.037	0.803	0.818	0.726	0.803	0.805
GPTune		0.898	0.000	0.898	0.898	0.898	0.898	0.898
OpenTuner		0.852	0.096	0.802	0.969	0.845	0.917	0.724
TPE		0.890	0.059	0.934	0.806	0.851	0.945	0.914
