GPTuneBand	0, [0.2, 0.5]	0.74	0.11	0.70	0.67	0.700	0.930	0.690
GPTuneBandS		0.88	0.14	0.99	0.75	0.700	0.970	0.970
HpBandster		0.96	0.22	1.26	1.13	0.840	0.870	0.720
GPTune		1.02	0.10	0.90	1.02	1.160	1.050	0.960
OpenTuner		1.25	0.49	1.14	0.91	1.140	2.110	0.970
TPE		1.18	0.19	0.95	1.33	1.060	1.150	1.420
GPTuneBand	1, [0.159, 0.545]	1.26	0.13	1.45	1.22	1.320	1.090	1.230
GPTuneBandS		1.31	0.04	1.25	1.32	1.310	1.330	1.340
HpBandster		1.33	0.20	1.63	1.43	1.140	1.270	1.200
GPTune		1.03	0.16	1.27	0.81	1.000	1.040	1.010
OpenTuner		1.14	0.42	1.05	0.89	0.950	1.890	0.940
TPE		1.02	0.15	0.78	1.03	1.020	1.210	1.040
GPTuneBand	2, [0.02, 0.682]	1.04	0.02	1.03	1.02	1.070	1.040	1.050
GPTuneBandS		1.24	0.09	1.37	1.18	1.180	1.290	1.190
HpBandster		0.97	0.15	0.83	0.93	0.850	1.190	1.060
GPTune		1.06	0.08	1.13	1.07	0.940	1.030	1.150
OpenTuner		1.50	0.64	1.80	0.92	2.430	0.930	1.410
TPE		1.16	0.24	0.80	1.20	1.060	1.370	1.370
GPTuneBand	3, [0.9, 0.02]	0.83	0.14	0.78	0.97	0.980	0.750	0.680
GPTuneBandS		0.82	0.15	0.95	0.66	0.990	0.710	0.770
HpBandster		1.22	0.35	1.07	1.82	1.060	0.940	1.200
GPTune		0.96	0.18	0.94	0.72	0.880	1.050	1.210
OpenTuner		0.94	0.13	0.85	0.86	0.940	1.160	0.900
TPE		1.13	0.19	0.98	1.37	1.010	1.310	0.990
GPTuneBand	4, [0.7, 0.3]	1.44	0.14	1.51	1.22	1.400	1.600	1.490
GPTuneBandS		1.18	0.16	1.10	1.33	0.940	1.230	1.320
HpBandster		1.06	0.29	0.78	0.85	1.470	1.240	0.960
GPTune		1.11	0.11	1.16	1.11	0.910	1.150	1.200
OpenTuner		1.51	0.87	0.93	2.20	2.610	1.240	0.550
TPE		1.04	0.19	1.01	1.24	0.770	1.190	1.000
GPTuneBand	5, [0.147, 0.739]	1.07	0.09	1.04	1.24	1.020	1.030	1.030
GPTuneBandS		1.19	0.03	1.23	1.19	1.190	1.140	1.210
HpBandster		1.10	0.28	0.93	1.26	1.490	0.810	0.990
GPTune		1.07	0.12	1.11	0.90	1.120	1.210	1.020
OpenTuner		1.36	0.37	1.98	1.08	1.230	1.410	1.100
TPE		1.12	0.16	1.04	1.16	1.370	0.980	1.040
GPTuneBand	6, [0.033, 0.528]	1.35	0.14	1.49	1.17	1.240	1.440	1.400
GPTuneBandS		0.88	0.17	1.01	0.69	1.000	0.700	0.990
HpBandster		1.20	0.18	1.12	1.22	1.190	0.980	1.480
GPTune		0.96	0.10	0.81	0.92	1.060	1.020	0.970
OpenTuner		1.31	0.35	1.13	1.46	1.850	1.010	1.110
TPE		1.03	0.26	1.42	0.91	1.180	0.800	0.860
GPTuneBand	7, [0.094, 0.402]	1.18	0.14	1.28	1.22	1.200	0.940	1.260
GPTuneBandS		1.16	0.19	1.00	1.39	1.190	1.270	0.930
HpBandster		1.15	0.29	1.28	1.43	1.060	1.290	0.700
GPTune		1.09	0.16	1.02	1.01	1.340	1.140	0.930
OpenTuner		1.74	0.75	0.96	1.39	1.880	1.530	2.950
TPE		1.11	0.19	1.17	1.29	0.890	0.919	1.260
GPTuneBand	8, [0.698, 0.302]	1.09	0.11	1.10	1.07	1.260	0.990	1.020
GPTuneBandS		1.21	0.05	1.19	1.29	1.150	1.230	1.210
HpBandster		0.96	0.22	1.31	0.94	0.860	0.710	1.000
GPTune		1.09	0.05	1.05	1.11	1.150	1.080	1.040
OpenTuner		1.23	0.41	0.76	1.16	1.890	1.120	1.200
TPE		1.27	0.37	1.27	1.43	0.860	1.000	1.810
GPTuneBand	9, [0.603, 0.0784]	0.73	0.09	0.71	0.89	0.670	0.690	0.710
GPTuneBandS		1.08	0.21	1.20	1.20	1.150	0.700	1.16
HpBandster		1.31	0.21	1.56	1.50	1.250	1.180	1.060
GPTune		1.04	0.14	1.18	0.92	1.050	1.160	0.870
OpenTuner		0.95	0.35	0.48	1.17	1.410	0.840	0.850
TPE		0.99	0.29	1.41	0.90	0.640	0.870	1.140
