GPTuneBand	0, [0.2, 0.5]	0.83	0.13	0.95	1.00	0.72	0.73	0.77
HpBandster		1.21	0.28	1.13	1.65	0.95	1.30	1.00
GPTune		0.99	0.13	0.80	1.09	1.08	1.06	0.90
OpenTuner		1.64	0.84	0.87	1.19	1.05	2.68	2.41
TPE		1.25	0.14	1.45	1.22	1.050	1.25	1.26
GPTuneBand	1, [0.159, 0.545]	0.81	0.16	0.69	0.99	0.69	0.97	0.70
HpBandster		0.90	0.14	1.10	0.78	0.94	0.93	0.76
GPTune		1.01	0.10	0.88	0.94	1.09	1.11	1.03
OpenTuner		1.34	0.59	1.29	0.91	1.26	2.34	0.88
TPE		1.07	0.18	1.05	1.27	1.07	0.80	1.18
GPTuneBand	2, [0.02, 0.682]	0.92	0.12	0.70	0.99	0.95	0.97	0.99
HpBandster		1.29	0.23	1.39	1.41	1.21	0.92	1.52
GPTune		0.98	0.13	0.84	0.93	0.98	0.97	1.19
OpenTuner		0.99	0.13	0.93	1.00	1.21	0.95	0.87
TPE		0.95	0.19	0.69	1.19	0.99	1.04	0.84
GPTuneBand	3, [0.9, 0.02]	0.93	0.13	1.02	0.71	0.95	1.02	0.96
HpBandster		1.37	0.25	1.47	1.74	1.37	1.17	1.10
GPTune		1.03	0.15	1.16	1.21	0.89	0.89	0.98
OpenTuner		0.95	0.18	0.87	1.14	1.01	0.68	1.03
TPE		0.99	0.15	1.08	1.09	0.76	1.12	0.90
GPTuneBand	4, [0.7, 0.3]	0.80	0.17	0.68	0.98	0.99	0.64	0.69
HpBandster		1.13	0.14	1.19	1.27	0.89	1.16	1.13
GPTune		1.07	0.07	1.18	1.03	1.06	1.00	1.07
OpenTuner		1.56	0.51	1.00	1.22	1.70	2.34	1.56
TPE		1.01	0.10	0.90	0.92	1.09	1.12	1.01
GPTuneBand	5, [0.147, 0.739]	0.69	0.04	0.69	0.68	0.75	0.66	0.67
HpBandster		1.01	0.22	0.62	1.12	1.19	1.07	1.03
GPTune		1.02	0.21	1.02	0.77	0.86	1.25	1.19
OpenTuner		1.04	0.30	0.97	1.16	1.50	0.72	0.87
TPE		1.14	0.22	1.16	1.05	1.29	0.81	1.37
GPTuneBand	6, [0.033, 0.528]	0.83	0.13	0.70	0.99	0.75	0.75	0.96
HpBandster		1.13	0.17	0.87	1.13	1.13	1.18	1.33
GPTune		1.14	0.13	1.03	1.16	1.25	1.27	0.97
OpenTuner		1.91	0.63	1.91	2.57	0.90	2.25	1.91
TPE		1.06	0.23	0.89	1.00	0.88	1.45	1.10
GPTuneBand	7, [0.094, 0.402]	0.82	0.13	0.96	0.75	0.74	0.69	0.97
HpBandster		0.98	0.16	0.94	0.98	1.19	0.75	1.04
GPTune		1.03	0.09	0.98	1.16	1.10	0.96	0.96
OpenTuner		2.07	1.41	1.58	0.79	1.40	2.12	4.44
TPE		1.03	0.11	0.86	1.17	1.06	1.06	1.02
GPTuneBand	8, [0.698, 0.302]	0.86	0.13	0.96	0.70	0.94	0.95	0.73
HpBandster		0.88	0.26	0.82	1.26	0.93	0.53	0.88
GPTune		1.05	0.16	0.79	1.19	1.12	0.99	1.16
OpenTuner		0.93	0.22	1.26	0.65	0.98	0.84	0.92
TPE		0.92	0.17	1.21	0.81	0.92	0.80	0.84
GPTuneBand	9, [0.603, 0.0784]	0.91	0.13	0.69	0.98	0.98	0.95	0.97
HpBandster		1.15	0.27	1.46	0.90	0.92	1.07	1.42
GPTune		1.00	0.05	1.08	1.00	0.98	0.94	0.99
OpenTuner		1.21	0.27	1.04	1.31	1.21	0.89	1.61
TPE		1.03	0.18	1.11	1.11	1.12	0.70	1.10
