GPTuneBand	0, [0.023, 0.682]	0.89	0.00	0.89	0.89			
HpBandster		1.18	0.00	1.18	1.18			
GPTune		0.83	0.00	0.83	0.83			
OpenTuner		1.60	0.00	1.60	1.60			
TPE		1.34	0.00	1.34	1.34			
GPTuneBand	1, [0.159, 0.545]	1.59	0.00	1.59	1.59			
HpBandster		0.98	0.00	0.98	0.98			
GPTune		1.06	0.00	1.06	1.06			
OpenTuner		3.11	0.00	3.11	3.11			
TPE		1.25	0.00	1.25	1.25			
GPTuneBand	2, [0.306, 0.261]	1.04	0.00	1.04	1.04			
HpBandster		1.72	0.00	1.72	1.72			
GPTune		1.08	0.00	1.08	1.08			
OpenTuner		1.12	0.00	1.12	1.12			
TPE		1.11	0.00	1.11	1.11			
GPTuneBand	3, [0.136, 0.426]	0.77	0.00	0.77	0.77			
HpBandster		1.36	0.00	1.36	1.36			
GPTune		1.25	0.00	1.25	1.25			
OpenTuner		1.22	0.00	1.22	1.22			
TPE		0.85	0.00	0.85	0.85			
GPTuneBand	4, [0.007, 0.128]	1.58	0.00	1.58	1.58			
HpBandster		1.33	0.00	1.33	1.33			
GPTune		0.92	0.00	0.92	0.92			
OpenTuner		1.47	0.00	1.47	1.47			
TPE		1.24	0.00	1.24	1.24			
GPTuneBand	5, [0.147, 0.739]	1.37	0.00	1.37	1.37			
HpBandster		1.05	0.00	1.05	1.05			
GPTune		0.92	0.00	0.92	0.92			
OpenTuner		1.37	0.00	1.37	1.37			
TPE		1.22	0.00	1.22	1.22			
GPTuneBand	6, [0.033, 0.528]	1.09	0.00	1.09	1.09			
HpBandster		1.80	0.00	1.80	1.80			
GPTune		0.87	0.00	0.87	0.87			
OpenTuner		2.28	0.00	2.28	2.28			
TPE		1.02	0.00	1.02	1.02			
GPTuneBand	7, [0.094, 0.402]	1.36	0.00	1.36	1.36			
HpBandster		1.11	0.00	1.11	1.11			
GPTune		0.98	0.00	0.98	0.98			
OpenTuner		0.87	0.00	0.87	0.87			
TPE		1.33	0.00	1.33	1.33			
GPTuneBand	8, [0.698, 0.302]	1.25	0.00	1.25	1.25			
HpBandster		1.14	0.00	1.14	1.14			
GPTune		1.09	0.00	1.09	1.09			
OpenTuner		0.94	0.00	0.94	0.94			
TPE		1.27	0.00	1.27	1.27			
GPTuneBand	9, [0.603, 0.078]	1.55	0.00	1.55	1.55			
HpBandster		1.23	0.00	1.23	1.23			
GPTune		0.96	0.00	0.96	0.96			
OpenTuner		1.58	0.00	1.58	1.58			
TPE		1.01	0.00	1.01	1.01			
