GPTune_MB	0, [1.764, 0.169]	1.290	0.207	1.07	1.32	1.48
HpBandster		1.347	0.196	1.40	1.51	1.13
GPTune		0.920	0.061	0.85	0.95	0.96
OpenTuner		0.960	0.216	1.20	0.90	0.78
GPTune_MB	1, [0.041, 0.809]	0.873	0.122	0.74	0.90	0.98
HpBandster		1.133	0.142	0.97	1.23	1.20
GPTune		0.917	0.067	0.90	0.99	0.86
OpenTuner		1.060	0.123	1.01	1.20	0.97
GPTune_MB	2, [0.227, 1.882]	1.060	0.123	1.15	0.92	1.11
HpBandster		1.490	0.411	1.78	1.02	1.67
GPTune		1.030	0.180	1.08	1.18	0.83
OpenTuner		1.290	0.551	1.82	1.33	0.72
GPTune_MB	3, [1.430, 0.678]	1.050	0.259	0.84	1.34	0.97
HpBandster		1.343	0.161	1.41	1.46	1.16
GPTune		0.893	0.180	1.10	0.77	0.81
OpenTuner		0.943	0.319	1.31	0.73	0.79
GPTune_MB	4, [1.211, 1.274]	1.207	0.127	1.28	1.06	1.28
HpBandster		1.463	0.505	2.03	1.06	1.30
GPTune		0.713	0.015	0.71	0.70	0.73
OpenTuner		0.917	0.199	0.70	1.09	0.96
GPTune_MB	5, [1.951, 1.616]	1.173	0.343	1.55	0.88	1.09
HpBandster		0.980	0.147	1.15	0.90	0.89
GPTune		0.930	0.026	0.95	0.90	0.94
OpenTuner		0.770	0.176	0.97	0.64	0.70
GPTune_MB	6, [1.060, 0.312]	1.333	0.297	1.22	1.11	1.67
HpBandster		1.003	0.249	1.29	0.88	0.84
GPTune		0.743	0.139	0.78	0.86	0.59
OpenTuner		0.923	0.398	0.65	1.38	0.74
GPTune_MB	7, [0.554, 1.720]	0.980	0.030	1.01	0.98	0.95
HpBandster		0.877	0.199	0.92	0.66	1.05
GPTune		0.803	0.075	0.76	0.89	0.76
OpenTuner		1.253	0.823	0.85	0.71	2.20
GPTune_MB	8, [1.120, 1.401]	0.970	0.184	0.89	1.18	0.84
HpBandster		1.330	0.259	1.54	1.41	1.04
GPTune		1.130	0.210	1.36	1.08	0.95
OpenTuner		0.973	0.246	0.95	0.74	1.23
GPTune_MB	9, [1.976, 0.495]	0.877	0.273	0.69	0.75	1.19
HpBandster		1.407	0.275	1.39	1.69	1.14
GPTune		0.993	0.031	1.02	1.00	0.96
OpenTuner		0.860	0.122	0.94	0.92	0.72
GPTune_MB	10, [1.624, 1.546]	1.133	0.260	0.85	1.19	1.36
HpBandster		0.960	0.139	0.88	1.12	0.88
GPTune		0.897	0.040	0.94	0.89	0.86
OpenTuner		1.300	0.705	0.77	2.10	1.03
GPTune_MB	11, [0.486, 0.910]	1.180	0.215	0.96	1.19	1.39
HpBandster		1.197	0.110	1.11	1.32	1.16
GPTune		0.770	0.180	0.95	0.77	0.59
OpenTuner		1.060	0.291	0.81	0.99	1.38
GPTune_MB	12, [0.243, 1.947]	1.023	0.065	0.96	1.02	1.09
HpBandster		1.217	0.137	1.07	1.24	1.34
GPTune		0.953	0.071	0.94	1.03	0.89
OpenTuner		1.143	0.200	1.15	0.94	1.34
GPTune_MB	13, [1.455, 0.440]	1.153	0.151	0.98	1.26	1.22
HpBandster		0.990	0.193	0.82	0.95	1.20
GPTune		0.790	0.192	0.92	0.88	0.57
OpenTuner		0.987	0.303	0.71	0.94	1.31
GPTune_MB	14, [0.306, 1.744]	1.057	0.189	1.14	0.84	1.19
HpBandster		1.507	0.249	1.67	1.63	1.22
GPTune		0.770	0.121	0.63	0.84	0.84
OpenTuner		1.020	0.298	1.27	1.10	0.69
GPTune_MB	15, [1.312, 1.829]	0.990	0.120	0.87	0.99	1.11
HpBandster		1.043	0.304	0.70	1.15	1.28
GPTune		0.963	0.078	1.05	0.94	0.90
OpenTuner		1.130	0.115	1.14	1.24	1.01
GPTune_MB	16, [0.437, 1.746]	0.987	0.215	0.91	0.82	1.23
HpBandster		1.133	0.208	1.09	1.36	0.95
GPTune		0.903	0.025	0.88	0.93	0.90
OpenTuner		1.180	0.296	1.21	0.87	1.46
GPTune_MB	17, [1.180, 0.314]	0.890	0.122	0.95	0.75	0.97
HpBandster		1.113	0.215	1.36	0.97	1.01
GPTune		0.970	0.141	0.99	0.82	1.10
OpenTuner		1.080	0.185	0.87	1.15	1.22
GPTune_MB	18, [0.684, 1.253]	1.080	0.302	1.04	1.40	0.80
HpBandster		1.480	0.456	2.00	1.15	1.29
GPTune		0.937	0.115	1.05	0.94	0.82
OpenTuner		1.273	0.144	1.33	1.38	1.11
GPTune_MB	19, [0.808, 0.783]	1.180	0.329	0.92	1.07	1.55
HpBandster		1.310	0.243	1.24	1.58	1.11
GPTune		0.760	0.010	0.77	0.76	0.75
OpenTuner		0.923	0.335	1.30	0.81	0.66
