GPTuneBand	0, [0.023, 0.682]	1.04	0.15	1.13	0.87	1.12
HpBandster		1.10	0.07	1.05	1.07	1.18
GPTune		0.83	0.00	0.83	0.83	0.83
OpenTuner		1.60	0.00	1.60	1.60	1.60
TPE		1.34	0.00	1.34	1.34	1.34
GPTuneBand	1, [0.159, 0.545]	1.16	0.14	1.19	1.01	1.29
HpBandster		1.16	0.24	1.13	0.94	1.41
GPTune		1.06	0.00	1.06	1.06	1.06
OpenTuner		3.11	0.00	3.11	3.11	3.11
TPE		1.25	0.00	1.25	1.25	1.25
GPTuneBand	2, [0.306, 0.261]	1.04	0.04	1.07	1.00	1.06
HpBandster		1.10	0.10	1.01	1.21	1.08
GPTune		1.08	0.00	1.08	1.08	1.08
OpenTuner		1.12	0.00	1.12	1.12	1.12
TPE		1.11	0.00	1.11	1.11	1.11
GPTuneBand	3, [0.136, 0.426]	0.72	0.03	0.70	0.75	0.72
HpBandster		1.26	0.18	1.47	1.20	1.12
GPTune		1.25	0.00	1.25	1.25	1.25
OpenTuner		1.22	0.00	1.22	1.22	1.22
TPE		0.85	0.00	0.85	0.85	0.85
GPTuneBand	4, [0.007, 0.128]	1.38	0.27	1.66	1.13	1.35
HpBandster		1.10	0.07	1.08	1.04	1.17
GPTune		0.92	0.00	0.92	0.92	0.92
OpenTuner		1.47	0.00	1.47	1.47	1.47
TPE		1.24	0.00	1.24	1.24	1.24
GPTuneBand	5, [0.147, 0.739]	0.95	0.10	0.88	1.07	0.91
HpBandster		1.12	0.17	0.92	1.20	1.23
GPTune		0.92	0.00	0.92	0.92	0.92
OpenTuner		1.37	0.00	1.37	1.37	1.37
TPE		1.22	0.00	1.22	1.22	1.22
GPTuneBand	6, [0.033, 0.528]	1.09	0.03	1.10	1.06	1.11
HpBandster		1.11	0.19	1.14	1.28	0.91
GPTune		0.87	0.00	0.87	0.87	0.87
OpenTuner		2.28	0.00	2.28	2.28	2.28
TPE		1.02	0.00	1.02	1.02	1.02
GPTuneBand	7, [0.094, 0.402]	1.26	0.14	1.34	1.10	1.35
HpBandster		1.03	0.10	1.10	0.91	1.07
GPTune		0.98	0.00	0.98	0.98	0.98
OpenTuner		0.87	0.00	0.87	0.87	0.87
TPE		1.33	0.00	1.33	1.33	1.33
GPTuneBand	8, [0.698, 0.302]	1.02	0.18	0.88	0.96	1.22
HpBandster		1.14	0.08	1.08	1.23	1.11
GPTune		1.09	0.00	1.09	1.09	1.09
OpenTuner		0.94	0.00	0.94	0.94	0.94
TPE		1.27	0.00	1.27	1.27	1.27
GPTuneBand	9, [0.603, 0.078]	1.37	0.21	1.20	1.60	1.32
HpBandster		1.08	0.35	1.46	1.01	0.77
GPTune		0.96	0.00	0.96	0.96	0.96
OpenTuner		1.58	0.00	1.58	1.58	1.58
TPE		1.01	0.00	1.01	1.01	1.01
