GPTuneBand	0, [1.764, 0.169]	1.46	0.06	1.50	1.41
HpBandster		2.61	0.86	3.22	2.00
GPTune		0.97	0.06	0.93	1.01
OpenTuner		2.85	1.08	3.61	2.08
TPE		1.21	0.21	1.06	1.35
GPTuneBand	1, [0.041, 0.809]	1.26	0.00	1.26	1.26
HpBandster		1.42	0.77	0.87	1.96
GPTune		0.99	0.09	1.06	0.93
OpenTuner		0.96	0.07	0.91	1.01
TPE		1.38	0.46	1.05	1.70
GPTuneBand	2, [0.227, 1.882]	2.05	0.42	1.75	2.35
HpBandster		1.45	0.49	1.10	1.80
GPTune		0.95	0.07	0.90	1.00
OpenTuner		1.95	1.31	2.87	1.02
TPE		1.28	0.41	0.99	1.57
GPTuneBand	3, [1.430, 0.678]	1.63	0.10	1.70	1.56
HpBandster		1.29	0.01	1.30	1.28
GPTune		0.69	0.01	0.70	0.68
OpenTuner		1.25	0.29	1.04	1.45
TPE		0.86	0.06	0.90	0.82
GPTuneBand	4, [1.211, 1.274]	2.08	0.01	2.07	2.08
HpBandster		1.24	0.06	1.19	1.28
GPTune		1.07	0.22	0.92	1.23
OpenTuner		1.13	0.20	1.27	0.99
TPE		1.36	0.81	1.93	0.78
GPTuneBand	5, [1.951, 1.616]	1.15	0.30	1.36	0.94
HpBandster		1.21	0.28	1.01	1.40
GPTune		1.22	0.37	0.96	1.48
OpenTuner		0.82	0.04	0.85	0.79
TPE		1.02	0.11	0.94	1.10
GPTuneBand	6, [1.060, 0.312]	2.20	0.11	2.12	2.28
HpBandster		1.45	0.06	1.49	1.40
GPTune		0.98	0.07	0.93	1.03
OpenTuner		1.38	0.42	1.08	1.68
TPE		1.11	0.13	1.01	1.20
GPTuneBand	7, [0.554, 1.720]	0.84	0.05	0.87	0.80
HpBandster		1.29	0.03	1.31	1.27
GPTune		1.14	0.06	1.18	1.10
OpenTuner		0.79	0.13	0.69	0.88
TPE		1.35	0.37	1.61	1.09
GPTuneBand	8, [1.120, 1.401]	1.86	0.48	1.52	2.20
HpBandster		1.43	0.44	1.74	1.12
GPTune		1.15	0.06	1.11	1.20
OpenTuner		1.38	0.15	1.48	1.27
TPE		1.11	0.03	1.13	1.09
GPTuneBand	9, [1.976, 0.495]	1.85	1.00	1.14	2.56
HpBandster		1.48	0.83	2.07	0.89
GPTune		0.83	0.04	0.86	0.80
OpenTuner		2.98	2.91	0.92	5.04
TPE		1.39	0.57	1.79	0.98
GPTuneBand	10, [1.624, 1.546]	1.21	0.28	1.01	1.40
HpBandster		2.00	1.26	1.11	2.89
GPTune		0.86	0.30	1.07	0.64
OpenTuner		2.80	1.78	4.06	1.54
TPE		1.40	0.42	1.10	1.69
GPTuneBand	11, [0.486, 0.910]	1.12	0.07	1.07	1.17
HpBandster		1.90	0.19	1.76	2.03
GPTune		0.99	0.20	1.13	0.85
OpenTuner		1.59	0.52	1.96	1.22
TPE		1.64	0.60	1.21	2.06
GPTuneBand	12, [0.243, 1.947]	0.94	0.13	0.85	1.03
HpBandster		1.88	1.02	1.16	2.6
GPTune		0.94	0.08	0.88	1
OpenTuner		1.58	0.49	1.23	1.93
TPE		1.77	1.17	2.59	0.94
GPTuneBand	13, [1.455, 0.440]	0.94	0.07	0.99	0.89
HpBandster		2.27	1.33	3.21	1.33
GPTune		1.00	0.64	0.55	1.45
OpenTuner		1.64	0.24	1.47	1.81
TPE		1.10	0.69	0.61	1.58
GPTuneBand	14, [0.306, 1.744]	2.15	0.72	2.66	1.64
HpBandster		1.84	0.97	1.15	2.52
GPTune		1.01	0.30	1.22	0.8
OpenTuner		0.88	0.25	0.70	1.06
TPE		1.27	0.63	0.82	1.71
GPTuneBand	15, [1.312, 1.829]	1.38	0.49	1.03	1.72
HpBandster		1.30	0.13	1.39	1.21
GPTune		1.06	0.11	0.98	1.14
OpenTuner		1.08	0.37	1.34	0.82
TPE		1.37	0.25	1.55	1.2
GPTuneBand	16, [0.437, 1.746]	1.06	0.14	1.16	0.96
HpBandster		1.62	0.74	1.09	2.14
GPTune		1.04	0.09	1.11	0.98
OpenTuner		2.51	2.17	0.97	4.04
TPE		1.44	0.29	1.64	1.23
GPTuneBand	17, [1.180, 0.314]	1.58	0.03	1.6	1.56
HpBandster		1.81	0.71	1.31	2.31
GPTune		1.25	0.06	1.21	1.29
OpenTuner		1.05	0.26	1.23	0.86
TPE		1.39	0.44	1.7	1.08
GPTuneBand	18, [0.684, 1.253]	1.88	0.09	1.81	1.94
HpBandster		1.10	0.33	1.33	0.86
GPTune		1.25	0.62	0.81	1.69
OpenTuner		1.82	1.24	2.69	0.94
TPE		1.07	0.23	1.23	0.9
GPTuneBand	19, [0.808, 0.783]	1.18	0.04	1.20	1.15
HpBandster		0.99	0.25	0.81	1.17
GPTune		1.07	0.04	1.05	1.1
OpenTuner		2.19	1.75	3.43	0.95
TPE		1.60	0.31	1.82	1.38
